Tojás (főtt);78;6;5;0.6;0;0.6
Pulykamell filé;165;31;3.6;0;0;0
Pulykamell sonka;99;18;2;2;0;0
Csirkemell filé;120;23;1.5;0;0;0
Csirkemell sonka;98;18;2;2;0;0
Vaj;717;0;81;0.1;0;0.1
Olívaolaj;119;0;14;0;0;0
Lenmag;534;18;42;28;24;1.6
Mandula;579;21;50;22;12;4.4
Dió;654;15;65;14;7;2.6
Pisztácia;562;20;45;28;10;7
Mogyoró;628;14;59;17;10;4.2
Fekete bab;341;24;1.4;63;16;0
Csicseriborsó;364;19;6;61;17;10
Zöldborsó;81;5;0.4;14;5;5
Brokkoli;34;2.8;0.4;6;2.4;1.5
Spenót;23;2.9;0.4;3.6;2.2;0.4
Káposzta;25;1.5;0.1;5.8;2.5;3.2
Uborka;15;0.6;0.1;3.6;1;2.8
Paradicsom;18;0.9;0.2;3.9;1.2;2.6
Répa;41;0.9;0.2;9.6;2.8;4.7
Cékla;43;1.6;0.2;9.6;3.8;6.8
Hagyma;40;1.1;0.1;9.3;1.7;4.2
Fokhagyma;149;6;0.5;33;2.1;1
Gyömbér;80;2;0.8;18;2;1.7
Alma;52;0.3;0.2;14;2.4;10.4
Banán;89;1.1;0.3;23;2.6;12.2
Narancs;47;0.9;0.1;12;2.4;9.4
Mandarin;53;0.8;0.3;13;1.8;10.6
Szeder;52;0.7;0.7;14;6;7
Málna;52;1.2;0.7;14;8;5
Epres joghurt;150;6;2.4;25;0;22.4
Cukkini;15;1.2;0.2;3.1;1;2.2
